,Episode,Review
0,Pilot,9.001234567891
1,Cat's in the Bag...,8.601234567891
2,...And the Bag's in the River,8.701234567891
3,Cancer Man,8.201234567891
4,Gray Matter,8.301234567891
5,Crazy Handful of Nothin',9.301234567891
6,A No-Rough-Stuff-Type Deal,8.801234567891
7,Seven Thirty-Seven,8.601234567891
8,Grilled,9.301234567891
9,Bit by a Dead Bee,8.301234567891
10,Down,8.201234567891
11,Breakage,8.301234567891
12,Peekaboo,8.901234567891
13,Negro y Azul,8.701234567891
14,Better Call Saul,9.201234567891
15,4 Days Out,9.101234567891
16,Over,8.501234567891
17,Mandala,8.901234567891
18,Phoenix,9.201234567891
19,ABQ,9.201234567891
20,No Más,8.501234567891
21,Caballo sin Nombre,8.701234567891
22,I.F.T.,8.401234567891
23,Green Light,8.201234567891
24,Más,8.601234567891
25,Sunset,9.301234567891
26,One Minute,9.601234567891
27,I See You,8.801234567891
28,Kafkaesque,8.401234567891
29,Fly,7.801234567891
30,Abiquiu,8.501234567891
31,Half Measures,9.501234567891
32,Full Measure,9.601234567891
