,Episode,Review
0,Winter Is Coming,9.001234567891
1,The Kingsroad,8.701234567891
2,Lord Snow,8.601234567891
3,"Cripples, Bastards, and Broken Things",8.701234567891
4,The Wolf and the Lion,9.001234567891
5,A Golden Crown,9.101234567891
6,You Win or You Die,9.201234567891
7,The Pointy End,9.001234567891
8,Baelor,9.601234567891
9,Fire and Blood,9.501234567891
10,The North Remembers,8.701234567891
11,The Night Lands,8.501234567891
12,What Is Dead May Never Die,8.801234567891
13,Garden of Bones,8.701234567891
14,The Ghost of Harrenhal,8.701234567891
15,The Old Gods and the New,9.001234567891
16,A Man Without Honor,8.901234567891
17,The Prince of Winterfell,8.701234567891
18,Blackwater,9.701234567891
19,Valar Morghulis,9.401234567891
20,Valar Dohaeris,8.701234567891
21,"Dark Wings, Dark Words",8.501234567891
22,Walk of Punishment,8.801234567891
23,And Now His Watch Is Ended,9.501234567891
24,Kissed by Fire,9.001234567891
25,The Climb,8.801234567891
26,The Bear and the Maiden Fair,8.701234567891
27,Second Sons,9.001234567891
28,The Rains of Castamere,9.901234567891
29,Mhysa,9.101234567891
